,h3,count,geometry
1842,88195dac57fffff,3,"POLYGON ((-0.394261039744512 51.57119242879026, -0.4009864138952431 51.56998432715953, -0.4021930961079641 51.56550443530007, -0.3966751955239171 51.56223290987759, -0.389950888910424 51.56344104825234, -0.3887434154551421 51.56792067528989, -0.394261039744512 51.57119242879026))"
1843,88195dac59fffff,3,"POLYGON ((-0.3783937889795796 51.58256479202516, -0.3851199325962719 51.58135812640607, -0.3863279373359528 51.57687921440851, -0.3808105896736501 51.57360723289206, -0.3740855141197283 51.57481393543453, -0.372876718276833 51.57929258255442, -0.3783937889795796 51.58256479202516))"
1844,88195dac5bfffff,7,"POLYGON ((-0.3740855141197283 51.57481393543453, -0.3808105896736501 51.57360723289206, -0.3820187242640019 51.56912809576549, -0.376502574176952 51.56585592611989, -0.3697785664229883 51.56706266568408, -0.3685696410675947 51.57154153785649, -0.3740855141197283 51.57481393543453))"
1845,88195dac5dfffff,1,"POLYGON ((-0.3906384782475763 51.58462991955074, -0.3973653053014801 51.5834225726442, -0.3985725185298719 51.57894339587335, -0.3930536963271084 51.57567183076663, -0.3863279373359528 51.57687921440851, -0.3851199325962719 51.58135812640607, -0.3906384782475763 51.58462991955074))"
1846,88195dac61fffff,4,"POLYGON ((-0.4396388129868217 51.59287944411511, -0.4463683690022736 51.59166936962155, -0.4475724121056938 51.58718913480312, -0.4420476924482101 51.58391923881737, -0.4353192044918742 51.58512934929377, -0.434114368245324 51.58960931975734, -0.4396388129868217 51.59287944411511))"
1847,88195dac65fffff,1,"POLYGON ((-0.4518942883377576 51.59493907591189, -0.4586245253944392 51.59372831891257, -0.4598277749468488 51.58924781984407, -0.45430158110498 51.58597834200917, -0.4475724121056938 51.58718913480312, -0.4463683690022736 51.59166936962155, -0.4518942883377576 51.59493907591189))"
1848,88195dac67fffff,2,"POLYGON ((-0.4475724121056938 51.58718913480312, -0.45430158110498 51.58597834200917, -0.4555049625401105 51.58149761735203, -0.4499799682993076 51.57822794979983, -0.4432518670953136 51.57943877848699, -0.4420476924482101 51.58391923881737, -0.4475724121056938 51.58718913480312))"
1849,88195dac6bfffff,1,"POLYGON ((-0.4273854937512224 51.5908187119887, -0.434114368245324 51.58960931975734, -0.4353192044918742 51.58512934929377, -0.4297959590909709 51.58185903550547, -0.4230681526574198 51.58306846390784, -0.421862523675649 51.58754816991176, -0.4273854937512224 51.5908187119887))"
1850,88195dac81fffff,5,"POLYGON ((-0.388577251736499 51.52105158891347, -0.3952965231253038 51.51984186760174, -0.3965025347658231 51.51535987342277, -0.3909900648214509 51.51208786568856, -0.3842718591340837 51.5132976240557, -0.383065057800767 51.51777935308601, -0.388577251736499 51.52105158891347))"
1851,88195dac83fffff,11,"POLYGON ((-0.3842718591340837 51.5132976240557, -0.3909900648214509 51.51208786568856, -0.3921962063061781 51.50760564737549, -0.3866849315702427 51.50433345263912, -0.379967791322474 51.50554324815964, -0.3787608604821295 51.51002520124756, -0.3842718591340837 51.5132976240557))"
1852,88195dac85fffff,22,"POLYGON ((-0.4008101886905544 51.52311368809103, -0.4075301416090521 51.52190328620911, -0.4087353631501019 51.51742102698587, -0.4032214219832203 51.51414943467317, -0.3965025347658231 51.51535987342277, -0.3952965231253038 51.51984186760174, -0.4008101886905544 51.52311368809103))"
1853,88195dac87fffff,6,"POLYGON ((-0.3965025347658231 51.51535987342277, -0.4032214219832203 51.51414943467317, -0.4044267737057758 51.50966695123934, -0.39891402808419 51.50639517166022, -0.3921962063061781 51.50760564737549, -0.3909900648214509 51.51208786568856, -0.3965025347658231 51.51535987342277))"
1854,88195dac89fffff,1,"POLYGON ((-0.3806509247147882 51.52674209758099, -0.3873705800607425 51.52553309374144, -0.388577251736499 51.52105158891347, -0.383065057800767 51.51777935308601, -0.376346468418258 51.51898839407075, -0.3751390071192088 51.52346963372217, -0.3806509247147882 51.52674209758099))"
1855,88195dac8bfffff,28,"POLYGON ((-0.376346468418258 51.51898839407075, -0.383065057800767 51.51777935308601, -0.3842718591340837 51.5132976240557, -0.3787608604821295 51.51002520124756, -0.3720433368010359 51.51123427947547, -0.3708357461816225 51.51571574325276, -0.376346468418258 51.51898839407075))"
1856,88195dac8dfffff,17,"POLYGON ((-0.3928839696928084 51.52880514234547, -0.3996043070449599 51.52759545799116, -0.4008101886905544 51.52311368809103, -0.3952965231253038 51.51984186760174, -0.388577251736499 51.52105158891347, -0.3873705800607425 51.52553309374144, -0.3928839696928084 51.52880514234547))"
1857,88195dac91fffff,3,"POLYGON ((-0.3677415293002399 51.50347975418253, -0.3744579875418718 51.50227063861354, -0.3756650477388229 51.49778846161281, -0.3701564384173729 51.49451566557142, -0.363441045353284 51.49572481857937, -0.3622331965441544 51.50020673017419, -0.3677415293002399 51.50347975418253))"
1858,88195dac93fffff,4,"POLYGON ((-0.363441045353284 51.49572481857937, -0.3701564384173729 51.49451566557142, -0.3713636278206177 51.4900332648027, -0.365856212546263 51.48676028250871, -0.3591418843978462 51.48796947305343, -0.3579339067191324 51.49245160833981, -0.363441045353284 51.49572481857937))"
1859,88195dac95fffff,23,"POLYGON ((-0.379967791322474 51.50554324815964, -0.3866849315702427 51.50433345263912, -0.3878912027485913 51.49985101033676, -0.3823811228088101 51.49657862884096, -0.3756650477388229 51.49778846161281, -0.3744579875418718 51.50227063861354, -0.379967791322474 51.50554324815964))"
1860,88195dac97fffff,9,"POLYGON ((-0.3756650477388229 51.49778846161281, -0.3823811228088101 51.49657862884096, -0.3835875235302857 51.49209596269414, -0.378078637974551 51.4888233946817, -0.3713636278206177 51.4900332648027, -0.3701564384173729 51.49451566557142, -0.3756650477388229 51.49778846161281))"
1861,88195dac99fffff,6,"POLYGON ((-0.359816968311833 51.50916984027297, -0.3665338095108516 51.50796144194098, -0.3677415293002399 51.50347975418253, -0.3622331965441544 51.50020673017419, -0.3555174207841458 51.5014151660349, -0.3543089124522968 51.50589658835969, -0.359816968311833 51.50916984027297))"
1862,88195dac9bfffff,1,"POLYGON ((-0.3555174207841458 51.5014151660349, -0.3622331965441544 51.50020673017419, -0.363441045353284 51.49572481857937, -0.3579339067191324 51.49245160833981, -0.3512191961360308 51.49366008182709, -0.3500105591212198 51.49814172791184, -0.3555174207841458 51.5014151660349))"
